ep,code,pattern,problem,difficulty,prep_ready,solved_clean,recorded,edited,uploaded,youtube_url,reps,last_rep_date
1,P01E01,Two Pointers,Pair with Target Sum,Easy,Y,N,N,N,N,,0,
2,P01E02,Two Pointers,Rearrange 0 and 1,,Y,N,N,N,N,,0,
3,P01E03,Two Pointers,Remove Duplicates,Easy,Y,N,N,N,N,,0,
4,P01E04,Two Pointers,Squaring a Sorted Array,Easy,Y,N,N,N,N,,0,
5,P01E05,Two Pointers,Triplet Sum to Zero,Medium,Y,N,N,N,N,,0,
6,P01E06,Two Pointers,Triplet Sum Close to Target,Medium,Y,N,N,N,N,,0,
7,P01E07,Two Pointers,Triplets with Smaller Sum,Medium,Y,N,N,N,N,,0,
8,P01E08,Two Pointers,Subarrays with Product Less than a Target,Medium,Y,N,N,N,N,,0,
9,P01E09,Two Pointers,Dutch National Flag Problem,Medium,Y,N,N,N,N,,0,
10,P01E10,Two Pointers,Quadruple Sum to Target,Medium,Y,N,N,N,N,,0,
11,P01E11,Two Pointers,Comparing Strings containing Backspaces,Medium,Y,N,N,N,N,,0,
12,P01E12,Two Pointers,Minimum Window Sort,Medium,Y,N,N,N,N,,0,
13,P02E01,Fast & Slow pointers,LinkedList Cycle,Easy,N,N,N,N,N,,0,
14,P02E02,Fast & Slow pointers,Start of LinkedList Cycle,Medium,N,N,N,N,N,,0,
15,P02E03,Fast & Slow pointers,Happy Number,Medium,N,N,N,N,N,,0,
16,P02E04,Fast & Slow pointers,FIND DUPLICATE NUMBER,,N,N,N,N,N,,0,
17,P02E05,Fast & Slow pointers,Middle of the LinkedList,Easy,N,N,N,N,N,,0,
18,P02E06,Fast & Slow pointers,Palindrome LinkedList,Medium,N,N,N,N,N,,0,
19,P02E07,Fast & Slow pointers,Rearrange a LinkedList,Medium,N,N,N,N,N,,0,
20,P02E08,Fast & Slow pointers,Cycle in a Circular Array,Hard,N,N,N,N,N,,0,
21,P03E01,Sliding Window,Maximum Sum Subarray of Size K,Easy,N,N,N,N,N,,0,
22,P03E02,Sliding Window,Smallest Subarray with a given sum,Easy,N,N,N,N,N,,0,
23,P03E03,Sliding Window,Longest Substring with K Distinct Characters,Medium,N,N,N,N,N,,0,
24,P03E04,Sliding Window,Fruits into Baskets,Medium,N,N,N,N,N,,0,
25,P03E05,Sliding Window,No-repeat Substring,Hard,N,N,N,N,N,,0,
26,P03E06,Sliding Window,Longest Substring with Same Letters after Replacement,Hard,N,N,N,N,N,,0,
27,P03E07,Sliding Window,Longest Subarray with Ones after Replacement,Hard,N,N,N,N,N,,0,
28,P03E08,Sliding Window,Minimum size subarray SUM,,N,N,N,N,N,,0,
29,P03E09,Sliding Window,MInimum Size Substring,Hard,N,N,N,N,N,,0,
30,P03E10,Sliding Window,Permutation in a String,Hard,N,N,N,N,N,,0,
31,P03E11,Sliding Window,String Anagrams,Hard,N,N,N,N,N,,0,
32,P03E12,Sliding Window,Words Concatenation,Hard,N,N,N,N,N,,0,
33,P04E01,Kadane,Maximum subarray sum,,N,N,N,N,N,,0,
34,P04E02,Kadane,Minimum Subarray Sum,,N,N,N,N,N,,0,
35,P04E03,Kadane,Maximum product subarray,,N,N,N,N,N,,0,
36,P04E04,Kadane,Maximum subarray sum with one deletion,,N,N,N,N,N,,0,
37,P04E05,Kadane,Maximum absolute sum of any subarray,,N,N,N,N,N,,0,
38,P04E06,Kadane,Maximum sum in circular array variant,,N,N,N,N,N,,0,
39,P05E01,Prefix Sum,Subarray Sum Equals K,Easy,N,N,N,N,N,,0,
40,P05E02,Prefix Sum,Find Pivot Index,Easy,N,N,N,N,N,,0,
41,P05E03,Prefix Sum,Subarray Sums Divisible By K,Medium,N,N,N,N,N,,0,
42,P05E04,Prefix Sum,Contiguous array,Medium,N,N,N,N,N,,0,
43,P05E05,Prefix Sum,Shortest Subarray With Sum at Least K,Hard,N,N,N,N,N,,0,
44,P05E06,Prefix Sum,Count Range Sum,Hard,N,N,N,N,N,,0,
45,P06E01,Merge Intervals,Merge Intervals,Medium,N,N,N,N,N,,0,
46,P06E02,Merge Intervals,Insert Interval,Medium,N,N,N,N,N,,0,
47,P06E03,Merge Intervals,Intervals Intersection,Medium,N,N,N,N,N,,0,
48,P06E04,Merge Intervals,Overlapping Intervals,,N,N,N,N,N,,0,
49,P06E05,Merge Intervals,Minimum Meeting Rooms,Hard,N,N,N,N,N,,0,
50,P06E06,Merge Intervals,Maximum CPU Load,Hard,N,N,N,N,N,,0,
51,P06E07,Merge Intervals,Employee Free Time,Hard,N,N,N,N,N,,0,
52,P07E01,In-place Reversal of a LinkedList,Reverse a LinkedList,Easy,N,N,N,N,N,,0,
53,P07E02,In-place Reversal of a LinkedList,Reverse a Sub-list,Medium,N,N,N,N,N,,0,
54,P07E03,In-place Reversal of a LinkedList,Reverse List in Pairs,Medium,N,N,N,N,N,,0,
55,P07E04,In-place Reversal of a LinkedList,Reverse every K-element Sub-list,Hard,N,N,N,N,N,,0,
56,P07E05,In-place Reversal of a LinkedList,Reverse nodes in EVEN Length Groups,Hard,N,N,N,N,N,,0,
57,P07E06,In-place Reversal of a LinkedList,Rotate a LinkedList,Medium,N,N,N,N,N,,0,
58,P08E01,Stack,remove adjacent duplicates,,N,N,N,N,N,,0,
59,P08E02,Stack,Balanced Parentheses,,N,N,N,N,N,,0,
60,P08E03,Stack,Reverse a String,,N,N,N,N,N,,0,
61,P08E04,Stack,Next Greater Element,Easy,N,N,N,N,N,,0,
62,P08E05,Stack,Daily Temperatures,Easy,N,N,N,N,N,,0,
63,P08E06,Stack,Remove Nodes From Linked List,Easy,N,N,N,N,N,,0,
64,P08E07,Stack,Remove All Adjacent Duplicates in String II,Medium,N,N,N,N,N,,0,
65,P08E08,Stack,Simplify Path (Problem Challenge),,N,N,N,N,N,,0,
66,P08E09,Stack,Remove K Digits Problem challenge,Hard,N,N,N,N,N,,0,
67,P09E01,Hash Maps,First Non-repeating Character,Easy,N,N,N,N,N,,0,
68,P09E02,Hash Maps,Maximum Number of Balloons,Easy,N,N,N,N,N,,0,
69,P09E03,Hash Maps,Longest Palindrome,Easy,N,N,N,N,N,,0,
70,P09E04,Hash Maps,Ransom Note,Easy,N,N,N,N,N,,0,
71,P10E01,Binary Search,Binary search basic,,N,N,N,N,N,,0,
72,P10E02,Binary Search,Upper Bound/ Ceiling,,N,N,N,N,N,,0,
73,P10E03,Binary Search,First and Last position,,N,N,N,N,N,,0,
74,P10E04,Binary Search,Count number of occurences,,N,N,N,N,N,,0,
75,P10E05,Binary Search,Search in infinite Sorted array,,N,N,N,N,N,,0,
76,P10E06,Binary Search,Peak index in Mountain,,N,N,N,N,N,,0,
77,P10E07,Binary Search,Find peak in mountain range,,N,N,N,N,N,,0,
78,P10E08,Binary Search,Find minimum in rotated sorted array,,N,N,N,N,N,,0,
79,P10E09,Binary Search,Find number of rotations to sorted array,,N,N,N,N,N,,0,
80,P10E10,Binary Search,Search in rotated sorted array,,N,N,N,N,N,,0,
81,P10E11,Binary Search,KOKO eating BANANAS,,N,N,N,N,N,,0,
82,P10E12,Binary Search,Min num of days to make m bouquets,,N,N,N,N,N,,0,
83,P10E13,Binary Search,Aggresive cows,,N,N,N,N,N,,0,
84,P10E14,Binary Search,H index 2,,N,N,N,N,N,,0,
85,P10E15,Binary Search,Max candies to k children,,N,N,N,N,N,,0,
86,P10E16,Binary Search,Capacity to ship packages in d days,,N,N,N,N,N,,0,
87,P10E17,Binary Search,Book Allocation Problem,,N,N,N,N,N,,0,
88,P10E18,Binary Search,Split largest arrray,,N,N,N,N,N,,0,
89,P10E19,Binary Search,Search 2 D matrix,,N,N,N,N,N,,0,
90,P10E20,Binary Search,Search 2D matrix (Hard),Hard,N,N,N,N,N,,0,
91,P10E21,Binary Search,kth smallest in sorted matrix,,N,N,N,N,N,,0,
92,P10E22,Binary Search,kth smallest in multiplication matrix,,N,N,N,N,N,,0,
93,P10E23,Binary Search,median of 2 sorted arrays,,N,N,N,N,N,,0,
94,P11E01,Heap,kth smallest,,N,N,N,N,N,,0,
95,P11E02,Heap,kth largest,,N,N,N,N,N,,0,
96,P11E03,Heap,TOP K frequent Elements,,N,N,N,N,N,,0,
97,P11E04,Heap,Top K frequent Words,,N,N,N,N,N,,0,
98,P11E05,Heap,K closest points to origin,,N,N,N,N,N,,0,
99,P11E06,Heap,Find K closest elements,,N,N,N,N,N,,0,
100,P11E07,Heap,Kth weakest row in Matrix,,N,N,N,N,N,,0,
101,P11E08,Heap,Merge K Sorted Arrays,,N,N,N,N,N,,0,
102,P11E09,Heap,Kth Smallest in Sorted Matrix,,N,N,N,N,N,,0,
103,P11E10,Heap,LAST STONE WEIGHT,,N,N,N,N,N,,0,
104,P11E11,Heap,CPU Task Scheduler,,N,N,N,N,N,,0,
105,P11E12,Heap,Reorganize String,,N,N,N,N,N,,0,
106,P11E13,Heap,Min number of refueling stops,,N,N,N,N,N,,0,
107,P11E14,Heap,IPO,,N,N,N,N,N,,0,
108,P11E15,Heap,Course Scheduler 3,,N,N,N,N,N,,0,
109,P11E16,Heap,Find median in data stream,,N,N,N,N,N,,0,
110,P11E17,Heap,Sliding Window Median,Hard,N,N,N,N,N,,0,
111,P12E01,Recursion and Backtracking,Fibonnaci,,N,N,N,N,N,,0,
112,P12E02,Recursion and Backtracking,Check if string is Pallindrome,,N,N,N,N,N,,0,
113,P12E03,Recursion and Backtracking,Check if Array is Sorted,,N,N,N,N,N,,0,
114,P12E04,Recursion and Backtracking,Sum of digits of a number,,N,N,N,N,N,,0,
115,P12E05,Recursion and Backtracking,Remove occurences of a character in string,,N,N,N,N,N,,0,
116,P12E06,Recursion and Backtracking,Generate parenthesis,,N,N,N,N,N,,0,
117,P12E07,Recursion and Backtracking,Letter Combinations of phone number,,N,N,N,N,N,,0,
118,P12E08,Recursion and Backtracking,Permutations,,N,N,N,N,N,,0,
119,P12E09,Recursion and Backtracking,Combination Sum,,N,N,N,N,N,,0,
120,P12E10,Recursion and Backtracking,Pallindrome partition,,N,N,N,N,N,,0,
121,P13E01,Tree,Inorder,,N,N,N,N,N,,0,
122,P13E02,Tree,Preorder,,N,N,N,N,N,,0,
123,P13E03,Tree,Postorder,,N,N,N,N,N,,0,
124,P13E04,Tree,Level Order,,N,N,N,N,N,,0,
125,P13E05,Tree,ZigZag Order,,N,N,N,N,N,,0,
126,P13E06,Tree,Level Order II,,N,N,N,N,N,,0,
127,P13E07,Tree,Invert Tree,,N,N,N,N,N,,0,
128,P13E08,Tree,Symmetric Tree,,N,N,N,N,N,,0,
129,P13E09,Tree,Same Tree,,N,N,N,N,N,,0,
130,P13E10,Tree,Subtree of another TREE,,N,N,N,N,N,,0,
131,P13E11,Tree,Flip Equivalent Tree,,N,N,N,N,N,,0,
132,P13E12,Tree,LCA of Binary TREE,,N,N,N,N,N,,0,
133,P13E13,Tree,Binary Search Tree,,N,N,N,N,N,,0,
134,P13E14,Tree,LCA of BST,,N,N,N,N,N,,0,
135,P13E15,Tree,LCA of Deepest Leaves,,N,N,N,N,N,,0,
136,P13E16,Tree,Two Sum IV,,N,N,N,N,N,,0,
137,P13E17,Tree,Kth smallest element in BST,,N,N,N,N,N,,0,
138,P13E18,Tree,Minimum Depth of Binary Tree,,N,N,N,N,N,,0,
139,P13E19,Tree,Maximum Depth of Binary Tree,,N,N,N,N,N,,0,
140,P13E20,Tree,Balanced Binary Tree,,N,N,N,N,N,,0,
141,P13E21,Tree,Diameter of Binary Tree,,N,N,N,N,N,,0,
142,P13E22,Tree,Check Completeness of Binary Tree,,N,N,N,N,N,,0,
143,P13E23,Tree,Validate BST,,N,N,N,N,N,,0,
144,P13E24,Tree,Recover BST,,N,N,N,N,N,,0,
145,P13E25,Tree,Path Sum,,N,N,N,N,N,,0,
146,P13E26,Tree,Path Sum II,,N,N,N,N,N,,0,
147,P13E27,Tree,Sum of Root to Leaf,,N,N,N,N,N,,0,
148,P13E28,Tree,Maximum Path Sum,,N,N,N,N,N,,0,
149,P13E29,Tree,Contruct tree from preorder and inorder,,N,N,N,N,N,,0,
150,P13E30,Tree,Contruct tree from postorder and inorder,,N,N,N,N,N,,0,
151,P13E31,Tree,Sorted Array to BST,,N,N,N,N,N,,0,
152,P14E01,Graphs,Construct Adjancency List from EDGES+Nodes,,N,N,N,N,N,,0,
153,P14E02,Graphs,Graph DFS,,N,N,N,N,N,,0,
154,P14E03,Graphs,GRAPH BFS,,N,N,N,N,N,,0,
155,P14E04,Graphs,Number of Islands,,N,N,N,N,N,,0,
156,P14E05,Graphs,Number of Provinces,,N,N,N,N,N,,0,
157,P14E06,Graphs,Rotten Oranges,,N,N,N,N,N,,0,
158,P14E07,Graphs,Cycle detection in undirected graph,,N,N,N,N,N,,0,
159,P14E08,Graphs,Cycle detection in directed graph,,N,N,N,N,N,,0,
160,P14E09,Graphs,Topological sort,,N,N,N,N,N,,0,
161,P14E10,Graphs,Bipartite Graph/ Graph Coloring,,N,N,N,N,N,,0,
162,P14E11,Graphs,Surrounded Regoins,,N,N,N,N,N,,0,
163,P14E12,Graphs,Shortest Path in Non-Weighted Graph,,N,N,N,N,N,,0,
164,P14E13,Graphs,Dijkstra's Algorithm,,N,N,N,N,N,,0,
165,P14E14,Graphs,Network Delay,,N,N,N,N,N,,0,
166,P14E15,Graphs,Path With Minimum Effort,,N,N,N,N,N,,0,
167,P14E16,Graphs,Swim in Rising Water,,N,N,N,N,N,,0,
168,P14E17,Graphs,Bellman ford,,N,N,N,N,N,,0,
169,P14E18,Graphs,Cheapest Path in K stops,,N,N,N,N,N,,0,
170,P14E19,Graphs,Prim MST,,N,N,N,N,N,,0,
171,P14E20,Graphs,Word Ladder,,N,N,N,N,N,,0,
172,P15E01,DP (Dynamic Programming),Fibonacci,,N,N,N,N,N,,0,
173,P15E02,DP (Dynamic Programming),Climbing Stairs,,N,N,N,N,N,,0,
174,P15E03,DP (Dynamic Programming),House Robber,,N,N,N,N,N,,0,
175,P15E04,DP (Dynamic Programming),0/1 Knapsack,,N,N,N,N,N,,0,
176,P15E05,DP (Dynamic Programming),tabulation Intro,,N,N,N,N,N,,0,
177,P15E06,DP (Dynamic Programming),0/1 Knapsack Tabulation,,N,N,N,N,N,,0,
178,P15E07,DP (Dynamic Programming),Subset sum,,N,N,N,N,N,,0,
179,P15E08,DP (Dynamic Programming),Target Sum,,N,N,N,N,N,,0,
180,P15E09,DP (Dynamic Programming),LIS,,N,N,N,N,N,,0,
181,P15E10,DP (Dynamic Programming),LIS Tabulation,,N,N,N,N,N,,0,
182,P15E11,DP (Dynamic Programming),LCS,,N,N,N,N,N,,0,
183,P15E12,DP (Dynamic Programming),Unique Paths,,N,N,N,N,N,,0,
184,P15E13,DP (Dynamic Programming),Buy Sell Stocks,,N,N,N,N,N,,0,
185,P15E14,DP (Dynamic Programming),MIn cost to cut stick,,N,N,N,N,N,,0,
186,P15E15,DP (Dynamic Programming),Revision,,N,N,N,N,N,,0,
